강수분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 
기간 : 2008~2018 01~12

년월,지점,강수량(mm)
2008-01,115,183.5
2008-01,119,13.6
2008-01,121,15.2
2008-01,101,9.7
2008-01,102,3.5
2008-01,105,82.6
2008-01,106,73.3
2008-01,108,17.7
2008-01,90,71.1
2008-01,95,6.1
2008-01,98,6.7
2008-01,99,8.5
2008-01,100,89.1
2008-01,285,36.7
2008-01,288,32.6
2008-01,289,48.8
2008-01,294,34.5
2008-01,295,48.5
2008-01,277,64.6
2008-01,278,29
2008-01,279,43
2008-01,281,36.6
2008-01,284,51.8
2008-01,261,44
2008-01,262,47
2008-01,271,25.6
2008-01,272,33.1
2008-01,273,42.8
2008-01,248,30.4
2008-01,251,53.2
2008-01,252,52.7
2008-01,260,44
2008-01,236,39.6
2008-01,238,32.4
2008-01,243,37.8
2008-01,244,27.7
2008-01,245,49.8
2008-01,247,31.6
2008-01,216,65.6
2008-01,221,19.8
2008-01,226,46.9
2008-01,232,17.5
2008-01,235,20.9
2008-01,201,7.8
2008-01,202,14.1
2008-01,203,15.8
2008-01,211,11.2
2008-01,212,10
2008-01,175,45.2
2008-01,184,156.8
2008-01,185,50.5
2008-01,188,120.5
2008-01,189,63
2008-01,192,46.1
2008-01,162,23.1
2008-01,165,62.6
2008-01,168,31.7
2008-01,169,41.7
2008-01,170,50.8
2008-01,146,34.8
2008-01,152,73.5
2008-01,155,42.1
2008-01,156,56.9
2008-01,159,35.7
2008-01,135,40.5
2008-01,136,27.8
2008-01,137,37
2008-01,138,83.6
2008-01,140,31.5
2008-01,143,38.2
2008-01,127,29.3
2008-01,129,15
2008-01,130,91.7
2008-01,131,29
2008-01,133,45.3
2008-01,112,13.7
2008-01,114,12.7
2008-02,114,10.5
2008-02,115,163.6
2008-02,119,8.7
2008-02,121,7.6
2008-02,101,5.4
2008-02,102,5.5
2008-02,105,0
2008-02,106,0.1
2008-02,108,15
2008-02,90,0.6
2008-02,95,7.7
2008-02,98,8.5
2008-02,99,7.8
2008-02,100,5.3
2008-02,285,3.9
2008-02,288,11
2008-02,289,3.7
2008-02,294,17.5
2008-02,295,12.5
2008-02,277,2.5
2008-02,278,1.2
2008-02,279,1.6
2008-02,281,5.4
2008-02,284,2.2
2008-02,261,16.7
2008-02,262,12.5
2008-02,271,3.4
2008-02,272,4.3
2008-02,273,3.9
2008-02,248,8.3
2008-02,251,9.8
2008-02,252,10.8
2008-02,253,12.5
2008-02,260,11.1
2008-02,236,11.2
2008-02,238,6.1
2008-02,243,5.4
2008-02,244,9.1
2008-02,245,11.5
2008-02,247,8.6
2008-02,216,2.1
2008-02,221,6.5
2008-02,226,7
2008-02,232,11.1
2008-02,235,10.8
2008-02,201,5.9
2008-02,202,8.1
2008-02,203,6.6
2008-02,211,7
2008-02,212,6.6
2008-02,175,23.7
2008-02,184,31
2008-02,185,20.3
2008-02,188,21.5
2008-02,189,26.1
2008-02,192,9
2008-02,162,11.2
2008-02,165,16.6
2008-02,168,12.1
2008-02,169,10.5
2008-02,170,26
2008-02,146,3.9
2008-02,152,10
2008-02,155,10.5
2008-02,156,11.1
2008-02,159,19.1
2008-02,135,6.1
2008-02,136,2.8
2008-02,137,2.6
2008-02,138,4
2008-02,140,8.1
2008-02,143,5
2008-02,127,8.2
2008-02,129,7
2008-02,130,3.6
2008-02,131,7.7
2008-02,133,9.1
2008-02,112,4.9
2008-03,114,68.4
2008-03,115,51
2008-03,119,55.9
2008-03,121,69.8
2008-03,101,61.6
2008-03,102,17
2008-03,105,117.3
2008-03,106,100.1
2008-03,108,53.9
2008-03,90,103.9
2008-03,95,59.5
2008-03,98,44.3
2008-03,99,47.1
2008-03,100,57.6
2008-03,285,33
2008-03,288,31.3
2008-03,289,53.1
2008-03,294,72
2008-03,295,64
2008-03,277,59
2008-03,278,28.3
2008-03,279,30.7
2008-03,281,22
2008-03,284,32.6
2008-03,261,62.2
2008-03,262,74.5
2008-03,271,63.9
2008-03,272,65
2008-03,273,45.3
2008-03,248,36.5
2008-03,251,40.1
2008-03,252,57.5
2008-03,253,49.2
2008-03,260,51.4
2008-03,238,28.3
2008-03,243,48.6
2008-03,244,41.9
2008-03,245,40.8
2008-03,247,32
2008-03,216,59.4
2008-03,221,63.8
2008-03,226,28.7
2008-03,232,40.1
2008-03,235,48.2
2008-03,236,42.2
2008-03,201,46.7
2008-03,202,63.1
2008-03,203,58.1
2008-03,211,72.4
2008-03,212,68.6
2008-03,184,77.5
2008-03,185,74.2
2008-03,188,120.2
2008-03,189,123.6
2008-03,192,36.3
2008-03,162,65
2008-03,165,64.1
2008-03,168,55.6
2008-03,169,58
2008-03,170,102.4
2008-03,175,98.4
2008-03,146,38.8
2008-03,152,47.9
2008-03,155,50.2
2008-03,156,36.7
2008-03,159,73.7
2008-03,136,43.7
2008-03,137,28.9
2008-03,138,46.7
2008-03,140,47
2008-03,143,23.8
2008-03,127,43.1
2008-03,129,26
2008-03,130,78.6
2008-03,131,29.4
2008-03,133,29.1
2008-03,135,27.7
2008-03,112,45.8
2008-04,114,42.9
2008-04,115,43.2
2008-04,119,42.2
2008-04,121,24.8
2008-04,101,34
2008-04,102,25.4
2008-04,105,34.2
2008-04,106,36.1
2008-04,108,38.5
2008-04,90,13.5
2008-04,95,37.9
2008-04,98,36.3
2008-04,99,38.3
2008-04,100,60.4
2008-04,288,50
2008-04,289,74.1
2008-04,294,121.5
2008-04,295,103.9
2008-04,277,59.6
2008-04,278,38.5
2008-04,279,53.8
2008-04,281,52
2008-04,284,43
2008-04,285,48.5
2008-04,261,56.3
2008-04,262,73.1
2008-04,271,20.2
2008-04,272,27.2
2008-04,273,33.6
2008-04,248,40
2008-04,251,49
2008-04,252,62.8
2008-04,253,69.7
2008-04,260,52.1
2008-04,238,37.6
2008-04,243,41.1
2008-04,244,41.7
2008-04,245,47.2
2008-04,247,40.6
2008-04,216,63
2008-04,221,41.5
2008-04,226,23.3
2008-04,232,34
2008-04,235,40.5
2008-04,236,38.8
2008-04,201,56.3
2008-04,202,35.3
2008-04,203,39.4
2008-04,211,22.8
2008-04,212,28.5
2008-04,184,85.7
2008-04,185,46.1
2008-04,188,111.2
2008-04,189,97.5
2008-04,192,68.5
2008-04,162,97.6
2008-04,165,62
2008-04,168,71.5
2008-04,169,70.6
2008-04,170,70.7
2008-04,175,76.1
