황사일수
지점/지역명 :  전국

평균 황사일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0.2,0.1,1.8,2.5,1.1,0.0,0.0,0.0,0.0,0.0,0.2,0.4,6.4
최근 10년,0.3,0.4,1.9,0.8,1.6,0.0,0.0,0.0,0.0,0.1,0.8,0.6,6.5
최근  5년,0.4,0.6,1.6,1.3,1.9,0.0,0.0,0.0,0.0,0.0,0.8,0.1,6.6
2008,0.0,0.8,2.4,0.5,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.7,7.2,6
2009,0.0,1.0,2.2,0.2,0.0,0.0,0.0,0.0,0.5,1.1,0.0,2.9,7.9,4
2010,0.6,0.0,4.6,0.8,0.9,0.0,0.0,0.0,0.0,0.0,2.5,2.9,12.4,1
2011,0.0,0.0,2.4,0.2,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,3
2012,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,1.7,11
2013,0.4,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,10
2014,1.6,0.2,1.7,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.4,0.3,7.7,5
2015,0.2,2.6,5.5,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,9.0,2
2016,0.0,0.0,0.6,3.3,1.5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,5.5,8
2017,0.5,0.0,0.0,0.6,4.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,6.2,7
2018,0.0,0.0,0.0,2.1,0.4,0.0,0.0,0.0,0.0,0.0,2.3,0.0,4.8,9


평균 계절별 황사일수
연도,봄(3~5월),여름(6~8월),가을(9~11월),겨울(12~익년2월)
평년,5.4,0.0,0.3,0.7
최근 10년,4.3,0.0,1.0,1.2
최근  5년,4.7,0.0,0.8,0.7
2008,4.6,0,0,2.7
2009,2.5,0,1.5,3.5
2010,6.3,0,2.5,2.9
2011,8.2,0,0,0
2012,0.3,0,1.4,0.4
2013,1.7,0,0,1.8
2014,5.2,0,0.4,3.1
2015,6,0,0.2,0
2016,5.4,0,0.2,0.5
2017,4.6,0,1.1,0
2018,2.5,0,2.3,0

