지역,지역명,μSv/h,μR/h,상태
[국가망]서울특별시,서울,0.119,12.2,정상
[국가망]서울특별시,서울서초,0.137,14.1,정상
[국가망]서울특별시,서울은평,0.148,15.2,정상
[국가망]서울특별시,서울용산,0.126,13,정상
[국가망]서울특별시,서울노원,0.144,14.8,정상
[국가망]서울특별시,서울중랑,0.158,16.2,정상
[국가망]서울특별시,서울송파,0.119,12.2,정상
[국가망]서울특별시,서울강남,0.143,14.7,정상
[국가망]서울특별시,서울관악,0.162,16.6,정상
[국가망]서울특별시,서울구로,0.123,12.6,정상
[국가망]서울특별시,서울강서,0.134,13.8,정상
[국가망]인천광역시,백령면,0.101,10.4,정상
[국가망]인천광역시,인천중구,0.114,11.7,정상
[국가망]인천광역시,백령도,0.076,7.8,정상
[국가망]인천광역시,인천계양,0.162,16.6,정상
[국가망]인천광역시,인천남동,0.15,15.4,정상
[국가망]인천광역시,강화도,0.148,15.2,정상
[국가망]인천광역시,영종도,0.226,23.2,정상
[국가망]인천광역시,인천,0.132,13.6,정상
[국가망]부산광역시,부산,0.108,11.1,정상
[국가망]부산광역시,장안,0.102,10.5,정상
[국가망]부산광역시,부산강서,0.092,9.5,정상
[국가망]부산광역시,부산중구,0.09,9.2,정상
[국가망]부산광역시,부산북구,0.109,11.2,정상
[국가망]부산광역시,부산진구,0.102,10.5,정상
[국가망]부산광역시,고리방재센터,0.121,12.4,정상
[국가망]부산광역시,부산해운대,0.09,9.3,정상
[국가망]대전광역시,대전,0.125,12.8,정상
[국가망]대전광역시,대전관평,0.17,17.5,정상
[국가망]대전광역시,대전동구,0.104,10.7,정상
[국가망]대전광역시,대전방재센터,0.165,17,정상
[국가망]대전광역시,대전대동,0.123,12.6,정상
[국가망]대전광역시,대전대덕,0.103,10.6,정상
[국가망]대구광역시,대구,0.111,11.4,정상
[국가망]대구광역시,대구달성,0.119,12.2,정상
[국가망]대구광역시,대구동구,0.108,11.1,정상
[국가망]대구광역시,대구남구,0.103,10.6,정상
[국가망]광주광역시,광주,0.119,12.2,정상
[국가망]광주광역시,광주남구,0.113,11.6,정상
[국가망]광주광역시,광주광산,0.107,11,정상
[국가망]울산광역시,울산중구,0.114,11.7,정상
[국가망]울산광역시,울산남구,0.118,12.1,정상
[국가망]울산광역시,울산동구,0.11,11.3,정상
[국가망]울산광역시,울산,0.117,12,정상
[국가망]울산광역시,울산북구,0.113,11.6,정상
[국가망]울산광역시,웅촌,0.108,11.1,정상
[국가망]울산광역시,삼동,0.123,12.6,정상
[국가망]울산광역시,울산동부,0.132,13.6,정상
[국가망]울산광역시,울산무룡,0.094,9.7,정상
[국가망]울산광역시,울산두동,0.126,12.9,정상
[국가망]경기도,수원,0.149,15.3,정상
[국가망]경기도,문산,0.16,16.4,정상
[국가망]경기도,포천,0.135,13.9,정상
[국가망]경기도,양주,0.126,12.9,정상
[국가망]경기도,파주,0.114,11.7,정상
[국가망]경기도,시흥,0.108,11.1,정상
[국가망]경기도,화성,0.165,17,정상
[국가망]경기도,안양,0.124,12.7,정상
[국가망]경기도,과천,0.13,13.4,정상
[국가망]경기도,구리,0.126,13,정상
[국가망]경기도,의정부,0.154,15.8,정상
[국가망]경기도,양평,0.109,11.2,정상
[국가망]경기도,이천,0.136,14,정상
[국가망]경기도,부천,0.143,14.7,정상
[국가망]경기도,안성,0.128,13.2,정상
[국가망]강원도,강릉,0.115,11.8,정상
[국가망]강원도,춘천,0.148,15.2,정상
[국가망]강원도,철원,0.134,13.8,정상
[국가망]강원도,원주,0.123,12.6,정상
[국가망]강원도,속초,0.182,18.7,정상
[국가망]강원도,동해,0.094,9.7,정상
[국가망]강원도,고성,0.108,11.1,정상
[국가망]강원도,양구,0.133,13.7,정상
[국가망]강원도,화천,0.127,13.1,정상
[국가망]강원도,인제,0.121,12.4,정상
[국가망]강원도,태백,0.107,11,정상
[국가망]강원도,대관령,0.137,14.1,정상
[국가망]강원도,정선,0.113,11.6,정상
[국가망]강원도,임원,0.13,13.4,정상
[국가망]강원도,노곡,0.134,13.8,정상
[국가망]강원도,원덕,0.128,13.2,정상
[국가망]강원도,가곡,0.113,11.6,정상
[국가망]강원도,삼척,0.144,14.8,정상
[국가망]강원도,삼척도계,0.124,12.7,정상
[국가망]충청남도,서산,0.126,13,정상
[국가망]충청남도,당진,0.144,14.8,정상
[국가망]충청남도,서천,0.096,9.9,정상
[국가망]충청남도,안면도,0.156,16,정상
[국가망]충청남도,세종,0.131,13.5,정상
[국가망]충청북도,추풍령,0.099,10.2,정상
[국가망]충청북도,청주,0.125,12.8,정상
[국가망]충청북도,충주,0.134,13.8,정상
[국가망]충청북도,소백산,0.103,10.6,정상
[국가망]충청북도,속리산,0.128,13.2,정상
[국가망]경상남도,진주평거,0.1,10.3,정상
[국가망]경상남도,거창,0.1,10.3,정상
[국가망]경상남도,진해,0.089,9.1,정상
[국가망]경상남도,김해,0.119,12.2,정상
[국가망]경상남도,양산,0.109,11.2,정상
[국가망]경상남도,밀양,0.108,11.1,정상
[국가망]경상남도,거제,0.084,8.6,정상
[국가망]경상남도,남해,0.113,11.6,정상
[국가망]경상남도,욕지도,0.086,8.8,정상
[국가망]경상남도,지리산,0.14,14.4,정상
[국가망]경상남도,진주,0.111,11.4,정상
[국가망]경상남도,양산북부동,0.112,11.5,정상
[국가망]경상남도,하북,0.118,12.1,정상
[국가망]경상북도,안동,0.108,11.1,정상
[국가망]경상북도,북면,0.138,14.2,정상
[국가망]경상북도,양남,0.102,10.5,정상
[국가망]경상북도,울릉도,0.109,11.2,정상
[국가망]경상북도,영덕,0.107,11,정상
[국가망]경상북도,경주,0.101,10.4,정상
[국가망]경상북도,포항,0.097,10,정상
[국가망]경상북도,청송,0.088,9,정상
[국가망]경상북도,봉화,0.106,10.9,정상
[국가망]경상북도,영천,0.102,10.5,정상
[국가망]경상북도,독도,0.095,9.8,정상
[국가망]경상북도,월성방재센터,0.097,10,정상
[국가망]경상북도,울진방재센터,0.113,11.6,정상
[국가망]경상북도,영양,0.1,10.3,정상
[국가망]경상북도,매화,0.103,10.6,정상
[국가망]경상북도,두천,0.144,14.8,정상
[국가망]경상북도,울진,0.13,13.4,정상
[국가망]경상북도,금강송,0.085,8.7,정상
[국가망]경상북도,광회,0.16,16.4,정상
[국가망]경상북도,감포,0.093,9.6,정상
[국가망]경상북도,양북,0.098,10.1,정상
[국가망]경상북도,내남,0.141,14.5,정상
[국가망]경상북도,포항대송,0.111,11.4,정상
[국가망]경상북도,금강송왕피,0.123,12.6,정상
[국가망]경상북도,봉화석포,0.137,14.1,정상
[국가망]경상북도,봉화승부,0.105,10.8,정상
[국가망]경상북도,금강송소광,0.138,14.2,정상
[국가망]전라남도,홍농,0.133,13.7,정상
[국가망]전라남도,목포,0.115,11.8,정상
[국가망]전라남도,여수,0.085,8.7,정상
[국가망]전라남도,완도,0.096,9.9,정상
