지역,지역명,지역코드,μSv/h,μR/h,상태
[국가망]서울특별시,서울,108,0.119,12.2,정상
[국가망]서울특별시,서울서초,108,0.137,14.1,정상
[국가망]서울특별시,서울은평,108,0.148,15.2,정상
[국가망]서울특별시,서울용산,108,0.126,13,정상
[국가망]서울특별시,서울노원,108,0.144,14.8,정상
[국가망]서울특별시,서울중랑,108,0.158,16.2,정상
[국가망]서울특별시,서울송파,108,0.119,12.2,정상
[국가망]서울특별시,서울강남,108,0.143,14.7,정상
[국가망]서울특별시,서울관악,108,0.162,16.6,정상
[국가망]서울특별시,서울구로,108,0.123,12.6,정상
[국가망]서울특별시,서울강서,108,0.134,13.8,정상
[국가망]인천광역시,백령면,NULL,0.101,10.4,정상
[국가망]인천광역시,인천중구,112,0.114,11.7,정상
[국가망]인천광역시,백령도,102,0.076,7.8,정상
[국가망]인천광역시,인천계양,112,0.162,16.6,정상
[국가망]인천광역시,인천남동,112,0.15,15.4,정상
[국가망]인천광역시,강화도,201,0.148,15.2,정상
[국가망]인천광역시,영종도,NULL,0.226,23.2,정상
[국가망]인천광역시,인천,112,0.132,13.6,정상
[국가망]부산광역시,부산,159,0.108,11.1,정상
[국가망]부산광역시,장안,NULL,0.102,10.5,정상
[국가망]부산광역시,부산강서,159,0.092,9.5,정상
[국가망]부산광역시,부산중구,159,0.09,9.2,정상
[국가망]부산광역시,부산북구,159,0.109,11.2,정상
[국가망]부산광역시,부산진구,159,0.102,10.5,정상
[국가망]부산광역시,고리방재센터,NULL,0.121,12.4,정상
[국가망]부산광역시,부산해운대,159,0.09,9.3,정상
[국가망]대전광역시,대전,133,0.125,12.8,정상
[국가망]대전광역시,대전관평,133,0.17,17.5,정상
[국가망]대전광역시,대전동구,133,0.104,10.7,정상
[국가망]대전광역시,대전방재센터,133,0.165,17,정상
[국가망]대전광역시,대전대동,133,0.123,12.6,정상
[국가망]대전광역시,대전대덕,133,0.103,10.6,정상
[국가망]대구광역시,대구,143,0.111,11.4,정상
[국가망]대구광역시,대구달성,143,0.119,12.2,정상
[국가망]대구광역시,대구동구,143,0.108,11.1,정상
[국가망]대구광역시,대구남구,143,0.103,10.6,정상
[국가망]광주광역시,광주,156,0.119,12.2,정상
[국가망]광주광역시,광주남구,156,0.113,11.6,정상
[국가망]광주광역시,광주광산,156,0.107,11,정상
[국가망]울산광역시,울산중구,152,0.114,11.7,정상
[국가망]울산광역시,울산남구,152,0.118,12.1,정상
[국가망]울산광역시,울산동구,152,0.11,11.3,정상
[국가망]울산광역시,울산,152,0.117,12,정상
[국가망]울산광역시,울산북구,152,0.113,11.6,정상
[국가망]울산광역시,웅촌,NULL,0.108,11.1,정상
[국가망]울산광역시,삼동,NULL,0.123,12.6,정상
[국가망]울산광역시,울산동부,152,0.132,13.6,정상
[국가망]울산광역시,울산무룡,152,0.094,9.7,정상
[국가망]울산광역시,울산두동,152,0.126,12.9,정상
[국가망]경기도,수원,119,0.149,15.3,정상
[국가망]경기도,문산,NULL,0.16,16.4,정상
[국가망]경기도,포천,NULL,0.135,13.9,정상
[국가망]경기도,양주,NULL,0.126,12.9,정상
[국가망]경기도,파주,99,0.114,11.7,정상
[국가망]경기도,시흥,NULL,0.108,11.1,정상
[국가망]경기도,화성,NULL,0.165,17,정상
[국가망]경기도,안양,NULL,0.124,12.7,정상
[국가망]경기도,과천,NULL,0.13,13.4,정상
[국가망]경기도,구리,NULL,0.126,13,정상
[국가망]경기도,의정부,NULL,0.154,15.8,정상
[국가망]경기도,양평,202,0.109,11.2,정상
[국가망]경기도,이천,203,0.136,14,정상
[국가망]경기도,부천,NULL,0.143,14.7,정상
[국가망]경기도,안성,NULL,0.128,13.2,정상
[국가망]강원도,강릉,105,0.115,11.8,정상
[국가망]강원도,춘천,101,0.148,15.2,정상
[국가망]강원도,철원,95,0.134,13.8,정상
[국가망]강원도,원주,114,0.123,12.6,정상
[국가망]강원도,속초,90,0.182,18.7,정상
[국가망]강원도,동해,106,0.094,9.7,정상
[국가망]강원도,고성,NULL,0.108,11.1,정상
[국가망]강원도,양구,NULL,0.133,13.7,정상
[국가망]강원도,화천,NULL,0.127,13.1,정상
[국가망]강원도,인제,211,0.121,12.4,정상
[국가망]강원도,태백,216,0.107,11,정상
[국가망]강원도,대관령,100,0.137,14.1,정상
[국가망]강원도,정선,NULL,0.113,11.6,정상
[국가망]강원도,임원,NULL,0.13,13.4,정상
[국가망]강원도,노곡,NULL,0.134,13.8,정상
[국가망]강원도,원덕,NULL,0.128,13.2,정상
[국가망]강원도,가곡,NULL,0.113,11.6,정상
[국가망]강원도,삼척,214,0.144,14.8,정상
[국가망]강원도,삼척도계,214,0.124,12.7,정상
[국가망]충청남도,서산,129,0.126,13,정상
[국가망]충청남도,당진,NULL,0.144,14.8,정상
[국가망]충청남도,서천,NULL,0.096,9.9,정상
[국가망]충청남도,안면도,NULL,0.156,16,정상
[국가망]충청남도,세종,NULL,0.131,13.5,정상
[국가망]충청북도,추풍령,135,0.099,10.2,정상
[국가망]충청북도,청주,131,0.125,12.8,정상
[국가망]충청북도,충주,127,0.134,13.8,정상
[국가망]충청북도,소백산,NULL,0.103,10.6,정상
[국가망]충청북도,속리산,NULL,0.128,13.2,정상
[국가망]경상남도,진주평거,192,0.1,10.3,정상
[국가망]경상남도,거창,284,0.1,10.3,정상
[국가망]경상남도,진해,NULL,0.089,9.1,정상
[국가망]경상남도,김해,NULL,0.119,12.2,정상
[국가망]경상남도,양산,NULL,0.109,11.2,정상
[국가망]경상남도,밀양,288,0.108,11.1,정상
[국가망]경상남도,거제,294,0.084,8.6,정상
[국가망]경상남도,남해,295,0.113,11.6,정상
[국가망]경상남도,욕지도,NULL,0.086,8.8,정상
[국가망]경상남도,지리산,NULL,0.14,14.4,정상
[국가망]경상남도,진주,192,0.111,11.4,정상
[국가망]경상남도,양산북부동,NULL,0.112,11.5,정상
[국가망]경상남도,하북,NULL,0.118,12.1,정상
[국가망]경상북도,안동,136,0.108,11.1,정상
[국가망]경상북도,북면,NULL,0.138,14.2,정상
