우리나라기후평년값
[검색조건]
검색구분 : 일별평년값
, 지점명 : 전체
, 기간 : 1981~2010년 07월 31일
지점명,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%)
속초,      24.6,      27.9,      21.9,       8.0,      82.0
철원,      25.0,      29.3,      21.5,      17.7,      81.5
동두천,      25.2,      29.7,      21.9,      22.4,      81.1
대관령,      20.9,      24.7,      17.9,       8.8,      85.6
춘천,      26.1,      31.0,      22.4,       9.9,      80.0
백령도,      23.9,      26.7,      21.8,       6.8,      87.4
강릉,      26.1,      29.9,      22.8,       5.4,      75.6
동해,      25.0,      28.8,      21.9,       4.6,      80.0
서울,      26.7,      30.5,      23.7,      10.7,      77.6
인천,      25.8,      29.5,      23.3,       7.9,      81.8
원주,      26.3,      31.4,      22.4,       9.2,      78.2
울릉도,      24.4,      27.5,      22.1,       2.5,      83.4
수원,      26.6,      30.7,      23.3,       7.8,      79.8
영월,      25.5,      31.1,      21.5,       6.7,      79.9
충주,      26.3,      31.6,      22.3,       8.1,      77.9
서산,      26.1,      30.4,      22.8,       7.3,      82.3
울진,      24.8,      28.6,      21.6,       3.7,      81.1
청주,      27.1,      31.9,      23.4,       6.0,      75.7
대전,      26.9,      31.3,      23.6,       6.7,      76.2
추풍령,      25.6,      30.8,      21.6,       4.2,      79.2
안동,      26.3,      31.6,      22.2,       4.1,      77.3
포항,      27.0,      31.1,      23.6,       5.2,      76.0
군산,      26.8,      30.8,      23.9,       5.2,      82.3
대구,      27.8,      32.7,      23.9,       4.7,      71.0
전주,      27.6,      32.4,      23.9,       5.2,      75.5
울산,      26.9,      31.3,      23.4,       5.7,      75.9
창원,      27.1,      30.8,      24.3,      11.8,      78.6
광주,      27.4,      31.9,      24.1,       6.0,      76.9
부산,      26.3,      29.7,      23.7,       9.0,      81.0
통영,      26.3,      29.9,      23.7,       9.2,      82.9
목포,      26.9,      30.8,      24.0,       4.1,      80.3
여수,      26.2,      29.2,      23.8,       6.7,      82.2
흑산도,      24.7,      27.9,      22.4,       1.2,      90.3
완도,      26.3,      29.8,      23.6,       5.1,      82.9
제주,      27.5,      30.7,      24.9,       3.3,      75.7
고산,      26.6,      29.4,      24.2,       2.2,      84.4
성산,      26.8,      30.1,      24.1,       5.0,      81.4
서귀포,      27.5,      30.4,      25.2,       3.9,      80.0
진주,      26.9,      31.5,      23.1,       9.8,      80.6
강화,      25.3,      29.4,      22.1,      10.4,      82.5
양평,      26.1,      31.1,      22.5,      11.8,      80.9
이천,      26.2,      31.1,      22.4,       8.5,      76.7
인제,      24.8,      30.0,      21.0,       9.7,      79.4
홍천,      25.7,      31.4,      21.6,      10.0,      77.3
태백,      22.8,      27.6,      19.0,       7.1,      76.0
제천,      25.3,      30.6,      21.1,       7.1,      77.6
보은,      25.5,      30.9,      21.3,       6.2,      77.1
천안,      26.4,      31.5,      22.3,       5.4,      78.4
보령,      26.4,      30.4,      23.1,       5.6,      80.7
부여,      26.9,      31.9,      22.9,       5.2,      79.3
금산,      26.2,      31.8,      22.0,       5.3,      76.3
부안,      26.8,      31.7,      23.0,       3.7,      80.3
임실,      25.5,      31.0,      21.4,       7.0,      78.7
정읍,      27.3,      32.5,      23.2,       5.3,      75.3
남원,      26.5,      32.0,      22.4,       6.6,      79.1
장수,      24.6,      29.6,      20.6,       7.8,      80.8
장흥,      26.4,      31.0,      22.7,       8.2,      80.6
해남,      26.8,      31.1,      23.2,       6.9,      80.5
고흥,      26.5,      31.1,      22.8,       6.1,      77.3
봉화,      24.2,      30.1,      19.6,       8.1,      78.5
영주,      25.6,      31.1,      21.2,       6.1,      77.4
문경,      25.7,      31.0,      21.7,       6.5,      78.3
영덕,      25.7,      30.5,      21.7,       4.1,      76.6
의성,      26.2,      32.3,      21.4,       4.3,      74.4
구미,      26.8,      32.2,      22.4,       4.4,      74.6
영천,      26.4,      31.9,      21.9,       5.2,      73.3
거창,      25.7,      31.5,      21.3,       6.1,      78.4
합천,      26.8,      32.3,      22.6,       7.3,      74.4
밀양,      26.9,      32.2,      22.6,       7.2,      76.5
산청,      26.3,      32.0,      22.2,       8.0,      76.9
거제,      26.3,      30.2,      23.1,      14.8,      75.4
남해,      26.8,      31.3,      23.4,       9.1,      77.5

