열대야일수
지점/지역명 : 전국

평균 열대야일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.8,0.2,0.0,0.0,0.0,5.3
2008,0.0,0.0,0.0,0.0,0.0,0.0,4.3,2.3,0.0,0.0,0.0,0.0,6.6,7
2009,0.0,0.0,0.0,0.0,0.0,0.1,1.3,1.5,0.0,0.0,0.0,0.0,2.9,11
2010,0.0,0.0,0.0,0.0,0.0,0.0,3.6,8.4,0.7,0.0,0.0,0.0,12.7,3
2011,0.0,0.0,0.0,0.0,0.0,0.3,2.7,3.4,0.1,0.0,0.0,0.0,6.4,8
2012,0.0,0.0,0.0,0.0,0.0,0.0,3.1,7.1,0.0,0.0,0.0,0.0,10.2,6
2013,0.0,0.0,0.0,0.0,0.0,0.0,6.6,9.2,0.0,0.0,0.0,0.0,15.9,2
2014,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.9,0.0,0.0,0.0,0.0,3.3,10
2015,0.0,0.0,0.0,0.0,0.0,0.0,2.7,2.2,0.0,0.0,0.0,0.0,4.9,9
2016,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.7,0.0,0.0,0.0,0.0,10.8,5
2017,0.0,0.0,0.0,0.0,0.0,0.1,6.4,4.3,0.0,0.0,0.0,0.0,10.8,4
2018,0.0,0.0,0.0,0.0,0.0,0.0,7.8,9.9,0.0,0.0,0.0,0.0,17.7,1


가장 긴 열대야
연도,지점,시작일,종료일,지속일수
2008,제주,2008-07-27,2008-08-05,10
2009,제주,2009-07-12,2009-07-20,9
2010,제주,2010-07-30,2010-08-26,28
2011,제주,2011-07-25,2011-08-12,19
2012,제주,2012-07-21,2012-08-22,33
2013,서귀포,2013-07-07,2013-08-24,49
2014,대구,2014-07-21,2014-07-25,5
2015,제주,2015-07-22,2015-07-30,9
2016,제주,2016-07-18,2016-08-25,39
2017,서귀포,2017-07-19,2017-08-12,25
2018,여수,2018-07-18,2018-08-15,29


가장 빠른/가장 늦은 열대야
연도,가장 빠른 지점,가장 빠른 날짜,가장 늦은 지점,가장 늦은 날짜
2008,강릉,2008-07-03,서귀포·제주,2008-08-22
2009,동해·속초·영덕,2009-06-24,김해시·제주·해남,2009-08-27
2010,고창·고창군·광주·구미·수원·영광군·전주·정읍,2010-07-01,남해·북창원·서귀포·여수·의령군·창원시·통영,2010-09-21
2011,강릉,2011-06-21,김해시·부산·서귀포,2011-09-16
2012,포항,2012-07-03,김해시·부산·포항,2012-08-29
2013,강릉·서귀포·속초·제주·포항,2013-07-02,서귀포,2013-10-06
2014,제주,2014-05-27,서귀포,2014-09-02
2015,고창·고창군·목포·서울·인천·정읍,2015-07-10,포항,2015-08-23
2016,포항,2016-07-01,제주·통영,2016-08-31
2017,강릉·경주시·영덕·영천·포항,2017-06-30,서귀포·제주,2017-09-05
2018,포항,2018-05-16,고산,2018-09-02


