扁柯盒籍,,,,
[八祸炼扒],,,,
磊丰备盒 : 岿,,,,
磊丰屈怕 : 扁夯,,,,
瘤开/瘤痢 : ,,,,
扁埃 : 2008~2018 01~12,,,,
,,,,
斥岿,瘤痢,乞闭扁柯(∩),弥历扁柯(∩),弥绊扁柯(∩)
01岿 08老,115,3,-2.5,11.6
01岿 08老,119,-1.6,-12.1,7.9
01岿 08老,121,-2.9,-16.2,7.2
01岿 08老,101,-3.7,-16.2,6
01岿 08老,102,-1.5,-9.1,7.6
01岿 08老,105,1.1,-8.3,11.5
01岿 08老,106,1.3,-7.4,12.2
01岿 08老,108,-1.7,-11.1,7.3
01岿 08老,90,0.3,-9.5,10.7
01岿 08老,95,-5.4,-19.1,5.5
01岿 08老,98,-3.5,-15.2,7
01岿 08老,99,-4.2,-17.4,6.7
01岿 08老,100,-7.2,-26.2,5.5
01岿 08老,285,0.4,-10.7,11.7
01岿 08老,288,1.5,-9.6,13.3
01岿 08老,289,0.9,-11,13.2
01岿 08老,294,3.1,-5.7,12.7
01岿 08老,295,2.6,-6.9,13.3
01岿 08老,277,1.7,-7.4,11.7
01岿 08老,278,-1.8,-14.6,10.9
01岿 08老,279,0,-10.3,10.8
01岿 08老,281,0.2,-10.2,10.4
01岿 08老,284,-0.7,-12.6,12.7
01岿 08老,261,1.5,-7.6,13.8
01岿 08老,262,2.2,-10.1,13.7
01岿 08老,271,-2.9,-16.9,8.7
01岿 08老,272,-1.2,-14.1,7.8
01岿 08老,273,-1.4,-13,9.4
01岿 08老,248,-2.3,-14,10.5
01岿 08老,251,-0.3,-8.5,10.5
01岿 08老,252,-0.1,-10,10.9
01岿 08老,260,1.5,-9,13.8
01岿 08老,236,-0.8,-11.9,10.2
01岿 08老,238,-1.8,-13.6,9.9
01岿 08老,243,-0.2,-9.7,9.8
01岿 08老,244,-2,-13.1,11.1
01岿 08老,245,-0.5,-10.5,10.7
01岿 08老,247,-0.5,-11.1,11.7
01岿 08老,216,-4.7,-20,8.9
01岿 08老,221,-4.2,-17.7,6.9
01岿 08老,226,-2.8,-14,8.9
01岿 08老,232,-2,-12.9,9.1
01岿 08老,235,-0.4,-11.2,10
01岿 08老,201,-3,-13.7,7.6
01岿 08老,202,-2.3,-14.4,7.2
01岿 08老,203,-2.5,-14.3,7.4
01岿 08老,211,-5.1,-19.9,5.7
01岿 08老,212,-4.2,-17.7,6.2
01岿 08老,175,-0.8,-10.9,12.2
01岿 08老,184,6.4,0.2,18.3
01岿 08老,185,6.6,-0.1,18
01岿 08老,188,6.5,-0.8,19.8
01岿 08老,189,7.8,0.1,18.9
01岿 08老,192,1.8,-9,13.1
01岿 08老,162,3.7,-6.7,14.6
01岿 08老,165,2,-7.6,11.3
01岿 08老,168,3.3,-5.8,13
01岿 08老,169,2.7,-2.4,12.2
01岿 08老,170,2.3,-7.4,13.1
01岿 08老,146,0.2,-10.6,10.8
01岿 08老,152,2.5,-7,14
01岿 08老,155,2.9,-7,12
01岿 08老,156,1.2,-8.9,12
01岿 08老,159,4.7,-5.2,14
01岿 08老,135,-1.1,-12.3,9
01岿 08老,136,-1,-13.3,9.6
01岿 08老,137,-0.3,-11.4,9.5
01岿 08老,138,2.2,-7.3,11.5
01岿 08老,140,0.1,-9.7,9.3
01岿 08老,143,1.5,-8.2,11.2
01岿 08老,127,-2.3,-13.2,7.8
01岿 08老,129,-2.5,-13.1,7.1
01岿 08老,130,2.1,-7.4,13.8
01岿 08老,131,-1,-10.9,9.3
01岿 08老,133,-0.9,-11.6,10.3
01岿 08老,112,-1.5,-10.5,7.8
01岿 08老,114,-2.4,-13.5,6.6
02岿 08老,114,-2.3,-13.7,11.9
02岿 08老,115,2.6,-3.5,11.6
02岿 08老,119,-1.6,-10.4,11.8
02岿 08老,121,-3.1,-15.3,11.6
02岿 08老,101,-2.9,-15.1,10.8
02岿 08老,102,-0.8,-7.7,7.3
02岿 08老,105,2,-7.9,14.4
02岿 08老,106,1.8,-8.2,13.6
02岿 08老,108,-1.2,-10.1,10.5
02岿 08老,90,1.3,-9.8,12.8
02岿 08老,95,-4.7,-18.7,9.3
02岿 08老,98,-2.5,-13.9,11.5
02岿 08老,99,-3.6,-17.1,10.3
02岿 08老,100,-7.5,-24.1,5.4
02岿 08老,285,0,-12,15.4
02岿 08老,288,0.8,-10.5,14.9
02岿 08老,289,0.6,-9.2,14.5
02岿 08老,294,2.3,-6.4,12.5
02岿 08老,295,2,-9.3,13.6
02岿 08老,277,1.7,-8.1,15.3
02岿 08老,278,-2.6,-15.9,13.8
02岿 08老,279,0.3,-9.5,14.2
02岿 08老,281,0.1,-12.9,14.1
02岿 08老,284,-1,-13,14.9
02岿 08老,261,0.5,-10.8,13.7
02岿 08老,262,1.6,-8.3,13.6
